"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","132","helpCentreMyAccount page | socialMediaMyAccountBlock | twitterIcon","chromium-CySEC-el-gr-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","126","iagCfdInstrument page | fyLink | fyLink","chromium-CySEC-nl-nl-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","7321","rollsRoycePrice page | yahooFinanceUKLink | yahooFinanceUKLink","chromium-CMA-en-unauthorised","2026-08-12","failed","2026-08-12","","cta/generated.cta.spec.js","",""
"","56","helpCentreMyAccount page | socialMediaMyAccountBlock | youtubeIcon","chromium-CySEC-ro-ro-unauthorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","64","iagCfdInstrument page | fyLink | fyLink","chromium-SCB-es-unauthorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","39","iagCfdInstrument page | fyLink | fyLink","chromium-CySEC-de-at-unauthorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","7633","tradeBitcoin page | tradePolkadotSharesLink | tradePolkadotSharesLink","chromium-CySEC-de-de-unregistered","2026-08-12","failed","2026-08-12","","cta/generated.cta.spec.js","",""
"","42","helpCentreMyAccount page | socialMediaMyAccountBlock | twitterIcon","chromium-CySEC-hu-hu-unauthorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","127","iagCfdInstrument page | fyLink | fyLink","chromium-CySEC-de-at-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","7666","rollsRoycePrice page | yahooFinanceUKLink | yahooFinanceUKLink","chromium-SCB-en-authorised","2026-08-12","failed","2026-08-12","","cta/generated.cta.spec.js","",""
"","50","helpCentreMyAccount page | socialMediaMyAccountBlock | youtubeIcon","chromium-CySEC-nl-nl-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","38","iagCfdInstrument page | fyLink | fyLink","chromium-CySEC-pl-pl-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","7606","rollsRoycePrice page | yahooFinanceUKLink | yahooFinanceUKLink","chromium-ASIC-en-unregistered","2026-08-12","failed","2026-08-12","","cta/generated.cta.spec.js","",""
"","60","helpCentreMyAccount page | socialMediaMyAccountBlock | facebookIcon","chromium-CySEC-pl-pl-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","121","rollsRoycePrice page | yahooFinanceUKLink | yahooFinanceUKLink","chromium-CySEC-it-it-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","125","helpCentreMyAccount page | socialMediaMyAccountBlock | linkedinIcon","chromium-CySEC-it-it-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","133","iagCfdInstrument page | fyLink | fyLink","chromium-CySEC-pl-pl-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","42","rollsRoycePrice page | yahooFinanceUKLink | yahooFinanceUKLink","chromium-SCB-zh-hant-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","9611","helpCentreMyAccount page | socialMediaMyAccountBlock | linkedinIcon","chromium-CySEC-en-eu-unregistered","2026-08-12","failed","2026-08-12","","cta/generated.cta.spec.js","",""
"","7276","tradeBitcoin page | tradePolkadotSharesLink | tradePolkadotSharesLink","chromium-CySEC-it-it-unauthorised","2026-08-12","failed","2026-08-12","","cta/generated.cta.spec.js","",""
"","126","helpCentreMyAccount page | socialMediaMyAccountBlock | twitterIcon","chromium-CySEC-de-at-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","44","helpCentreMyAccount page | socialMediaMyAccountBlock | linkedinIcon","chromium-CMA-ar-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","9589","helpCentreMyAccount page | socialMediaMyAccountBlock | facebookIcon","chromium-CMA-en-unauthorised","2026-08-12","failed","2026-08-12","","cta/generated.cta.spec.js","",""
"","37","helpCentreMyAccount page | socialMediaMyAccountBlock | linkedinIcon","chromium-CySEC-hu-hu-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","7116","tradeBitcoin page | tradePolkadotSharesLink | tradePolkadotSharesLink","chromium-CMA-ar-unauthorised","2026-08-12","failed","2026-08-12","","cta/generated.cta.spec.js","",""
"","7316","tradeBitcoin page | tradePolkadotSharesLink | tradePolkadotSharesLink","chromium-CySEC-pl-pl-authorised","2026-08-12","failed","2026-08-12","","cta/generated.cta.spec.js","",""
"","35","iagCfdInstrument page | fyLink | fyLink","chromium-CySEC-nl-nl-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","128","iagCfdInstrument page | fyLink | fyLink","chromium-CySEC-el-gr-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","7909","tradeBitcoin page | tradePolkadotSharesLink | tradePolkadotSharesLink","chromium-SCB-es-unauthorised","2026-08-12","failed","2026-08-12","","cta/generated.cta.spec.js","",""
"","61","helpCentreMyAccount page | socialMediaMyAccountBlock | facebookIcon","chromium-CySEC-hu-hu-unauthorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","9714","helpCentreMyAccount page | socialMediaMyAccountBlock | facebookIcon","chromium-CySEC-en-eu-authorised","2026-08-12","failed","2026-08-12","","cta/generated.cta.spec.js","",""
"","64","iagCfdInstrument page | fyLink | fyLink","chromium-SCB-de-unauthorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","50","helpCentreMyAccount page | socialMediaMyAccountBlock | youtubeIcon","chromium-CySEC-nl-nl-unauthorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","49","helpCentreMyAccount page | socialMediaMyAccountBlock | youtubeIcon","chromium-CySEC-de-de-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","7317","tradeBitcoin page | tradePolkadotSharesLink | tradePolkadotSharesLink","chromium-CySEC-nl-nl-unregistered","2026-08-12","failed","2026-08-12","","cta/generated.cta.spec.js","",""
"","40","helpCentreMyAccount page | socialMediaMyAccountBlock | twitterIcon","chromium-CySEC-pl-pl-unauthorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
